identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
47;47 Boulevard Louis XIV (CB);8;16;1 BOULEVARD JEAN BAPTISTE LEBAS;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.62824, 3.069233
5;05 Massena (CB);0;32;73 RUE MASSENA;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63156, 3.054738
58;58 Porte de Valenciennes (CB);0;20;BOULEVARD DE BELFORT;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.620857, 3.078947
59;59 Belfort;4;26;84 RUE DE TREVISE;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.622223, 3.077127
6;06 Republique Beaux Arts (CB);0;23;2 RUE INKERMAN;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.630943, 3.060299
65;65 Place Tacq (CB);17;1;70 RUE DE LOOS;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.621128, 3.035483
75;75 Eugene Jacquet (CB);21;0;59 RUE EUGENE JACQUET;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.637337, 3.084894
77;77 Mont de Terre;15;3;7 RUE MATTEOTI;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.622963, 3.091363
85;85 Chanzy;12;0;58 RUE CHANZY;LILLE HELLEMMES;EN SERVICE;CONNECTEE;SANS TPE;50.625183, 3.100729
88;88 Rue Nationale (CB);0;27;91 RUE NATIONALE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.635082, 3.058015
91;91 Square des Meres;13;12;95 RUE DE LANNOY;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.63422, 3.096542
94;94 Marx Dormoy;3;21;RUE DE BORDEAUX;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.63579, 3.033977
